Issuer,Class,Cusip,Value,SharesPrnAmount,Type,PutCall,InvestmentDiscretion,SoleVoting,SharedVoting,NonVoting,Ticker,Date
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,31292,60891,Shares,"",SOLE,60891,0,0,VOO,2025-03-31
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,32393,279374,Shares,"",SOLE,279374,0,0,VT,2025-03-31
PYXIS ONCOLOGY INC,COM,747324101,47,48731,Shares,"",SOLE,48731,0,0,PYXS,2025-03-31
NKGEN BIOTECH INC,COM,65488A101,58,325000,Shares,"",SOLE,325000,0,0,NKGN,2025-03-31
SERVICE CORP INTL,COM,817565104,260,3250,Shares,"",SOLE,3250,0,0,SCI,2025-03-31
PALO ALTO NETWORKS INC,COM,697435105,266,1560,Shares,"",SOLE,1560,0,0,PANW,2025-03-31
OLD DOMINION FREIGHT LIN,COM,679580100,248,1500,Shares,"",SOLE,1500,0,0,ODFL,2025-03-31
EAGLE MATLS INC,COM,26969P108,221,1000,Shares,"",SOLE,1000,0,0,EXP,2025-03-31
FERRARI N V NEW F,COM,N3167Y103,320,750,Shares,"",SOLE,750,0,0,RACE,2025-03-31
S&P GLOBAL INC,COM,78409V104,330,650,Shares,"",SOLE,650,0,0,SPGI,2025-03-31
UNITEDHEALTH GROUP INC,COM,91324P102,261,500,Shares,"",SOLE,500,0,0,UNH,2025-03-31
BOOKING HLDGS INC,COM,09857L108,336,73,Shares,"",SOLE,73,0,0,BKNG,2025-03-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,32808,60891,Shares,"",SOLE,60891,0,0,VOO,2024-12-31
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,39754,552830,Shares,"",SOLE,552830,0,0,BND,2024-12-31
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,33534,285449,Shares,"",SOLE,285449,0,0,VT,2024-12-31
PYXIS ONCOLOGY INC,COMMON STOCK,747324101,76,48731,Shares,"",SOLE,48731,0,0,PYXS,2024-12-31
NKGEN BIOTECH INC,COM,65488A101,360,550000,Shares,"",SOLE,550000,0,0,NKGN,2024-12-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,36211,68413,Shares,"",SOLE,68413,0,0,VOO,2024-09-30
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,41523,552830,Shares,"",SOLE,552830,0,0,BND,2024-09-30
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,40155,335471,Shares,"",SOLE,335471,0,0,VT,2024-09-30
PYXIS ONCOLOGY INC,COMMON STOCK,747324101,178,48731,Shares,"",SOLE,48731,0,0,PYXS,2024-09-30
NKGEN BIOTECH INC,COM,65488A101,207,550000,Shares,"",SOLE,550000,0,0,NKGN,2024-09-30
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,34337,68413,Shares,"",SOLE,68413,0,0,VOO,2024-06-30
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,55245,766763,Shares,"",SOLE,766763,0,0,BND,2024-06-30
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,37784,335471,Shares,"",SOLE,335471,0,0,VT,2024-06-30
PYXIS ONCOLOGY INC,COMMON STOCK,747324101,161,48731,Shares,"",SOLE,48731,0,0,PYXS,2024-06-30
OVINTIV INC,COM,69047Q102,468,10000,Shares,"",SOLE,10000,0,0,OVV,2024-06-30
ABBVIE INC COM,COM,00287Y109,1029,6000,Shares,"",SOLE,6000,0,0,ABBV,2024-06-30
NKGEN BIOTECH INC,COM,65488A101,698,550000,Shares,"",SOLE,550000,0,0,NKGN,2024-06-30
ADTALEM GLOBAL ED INC,COM,00737L103,53,1040,Shares,"",SOLE,1040,0,0,ATGE,2024-03-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,7820,16270,Shares,"",SOLE,16270,0,0,VOO,2024-03-31
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,52946,728988,Shares,"",SOLE,728988,0,0,BND,2024-03-31
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,6720,60819,Shares,"",SOLE,60819,0,0,VT,2024-03-31
PYXIS ONCOLOGY INC,COMMON STOCK,747324101,207,48731,Shares,"",SOLE,48731,0,0,PYXS,2024-03-31
OVINTIV INC,COM,69047Q102,519,10000,Shares,"",SOLE,10000,0,0,OVV,2024-03-31
NKGEN BIOTECH INC,COM,65488A101,1039,550000,Shares,"",SOLE,550000,0,0,NKGN,2024-03-31
ADTALEM GLOBAL ED INC,COM,00737L103,99,1691,Shares,"",SOLE,1691,0,0,ATGE,2023-12-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,7106,16270,Shares,"",SOLE,16270,0,0,VOO,2023-12-31
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,51962,706488,Shares,"",SOLE,706488,0,0,BND,2023-12-31
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,8357,81233,Shares,"",SOLE,81233,0,0,VT,2023-12-31
PYXIS ONCOLOGY INC,COMMON STOCK,747324101,87,48731,Shares,"",SOLE,48731,0,0,PYXS,2023-12-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,705,1615,Shares,"",SOLE,1615,0,0,VOO,2023-12-31
OVINTIV INC,COM,69047Q102,439,10000,Shares,"",SOLE,10000,0,0,OVV,2023-12-31
JPMORGAN ALERIAN MLP INDEX ETN,FUND,46625H365,1719,67801,Shares,"",SOLE,67801,0,0,AMJ,2023-12-31
NKGEN BIOTECH INC,COM,65488A101,1512,550000,Shares,"",SOLE,550000,0,0,NKGN,2023-12-31
ADTALEM GLOBAL ED INC,COM,00737L103,127,2974,Shares,"",SOLE,2974,0,0,ATGE,2023-09-30
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,22074,56000,Shares,"",SOLE,56000,0,0,VOO,2023-09-30
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,49298,706488,Shares,"",SOLE,706488,0,0,BND,2023-09-30
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,7569,81233,Shares,"",SOLE,81233,0,0,VT,2023-09-30
ISHARE CORE MSCI EAFE ETF,CORE MSCI EAFE,46432F842,72625,1128600,Shares,"",SOLE,1128600,0,0,IEFA,2023-09-30
PYXIS ONCOLOGY INC,COMMON STOCK,747324101,96,48731,Shares,"",SOLE,48731,0,0,PYXS,2023-09-30
ADTALEM GLOBAL ED INC,COM,00737L103,102,2974,Shares,"",SOLE,2974,0,0,ATGE,2023-06-30
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,33867,82834,Shares,"",SOLE,82834,0,0,VOO,2023-06-30
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,96462,1327042,Shares,"",SOLE,1327042,0,0,BND,2023-06-30
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,7877,81233,Shares,"",SOLE,81233,0,0,VT,2023-06-30
ISHARE CORE MSCI EAFE ETF,CORE MSCI EAFE,46432F842,80676,1195200,Shares,"",SOLE,1195200,0,0,IEFA,2023-06-30
PYXIS ONCOLOGY INC,COMMON STOCK,747324101,124,48731,Shares,"",SOLE,48731,0,0,PYXS,2023-06-30
ADTALEM GLOBAL ED INC,COM,00737L103,303,8825,Shares,"",SOLE,8825,0,0,ATGE,2023-06-30
ADTALEM GLOBAL ED INC,COM,00737L103,146,3801,Shares,"",SOLE,3801,0,0,ATGE,2023-03-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,34000,90411,Shares,"",SOLE,90411,0,0,VOO,2023-03-31
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,97975,1327042,Shares,"",SOLE,1327042,0,0,BND,2023-03-31
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,7480,81233,Shares,"",SOLE,81233,0,0,VT,2023-03-31
ISHARE CORE MSCI EAFE ETF,CORE MSCI EAFE,46432F842,79899,1195200,Shares,"",SOLE,1195200,0,0,IEFA,2023-03-31
PYXIS ONCOLOGY INC,COMMON STOCK,747324101,195,48731,Shares,"",SOLE,48731,0,0,PYXS,2023-03-31
ADTALEM GLOBAL ED INC,COM,00737L103,166,4685,Shares,"",SOLE,4685,0,0,ATGE,2022-12-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,27542,78393,Shares,"",SOLE,78393,0,0,VOO,2022-12-31
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,95334,1327042,Shares,"",SOLE,1327042,0,0,BND,2022-12-31
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,7001,81233,Shares,"",SOLE,81233,0,0,VT,2022-12-31
PYXIS ONCOLOGY INC,COMMON STOCK,747324101,65,48731,Shares,"",SOLE,48731,0,0,PYXS,2022-12-31
ADTALEM GLOBAL ED INC,COM,00737L103,360,9528,Shares,"",SOLE,9528,0,0,ATGE,2021-09-30
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,13074,33042,Shares,"",SOLE,33042,0,0,VOO,2021-09-30
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,10869,127207,Shares,"",SOLE,127207,0,0,BND,2021-09-30
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,33972,397572,Shares,"",SOLE,397572,0,0,BND,2021-09-30
HASBRO INC COM,COM,418056107,809,9000,Shares,"",SOLE,9000,0,0,HAS,2021-09-30
VANGUARD EUROPEAN STOCK INDEX FUND INSTITUTIONAL SHARES,FUND,922042502,6819,195000,Shares,"",SOLE,195000,0,0,,2021-09-30
DFA US CORE EQUITY 1 PORT,FUND,233203413,201,5900,Shares,"",SOLE,5900,0,0,,2021-09-30
ADTALEM GLOBAL ED INC,COM,00737L103,369,10365,Shares,"",SOLE,10365,0,0,ATGE,2021-06-30
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,10146,25696,Shares,"",SOLE,25696,0,0,VOO,2021-06-30
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,10925,127207,Shares,"",SOLE,127207,0,0,BND,2021-06-30
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,34147,397572,Shares,"",SOLE,397572,0,0,BND,2021-06-30
HASBRO INC COM,COM,418056107,850,9000,Shares,"",SOLE,9000,0,0,HAS,2021-06-30
VANGUARD EUROPEAN STOCK INDEX FUND INSTITUTIONAL SHARES,FUND,922042502,6977,195000,Shares,"",SOLE,195000,0,0,,2021-06-30
ADTALEM GLOBAL ED INC,COM,00737L103,443,11215,Shares,"",SOLE,11215,0,0,ATGE,2021-03-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,6715,18435,Shares,"",SOLE,18435,0,0,VOO,2021-03-31
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,10638,125575,Shares,"",SOLE,125575,0,0,BND,2021-03-31
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,33351,393665,Shares,"",SOLE,393665,0,0,BND,2021-03-31
HASBRO INC COM,COM,418056107,961,10000,Shares,"",SOLE,10000,0,0,HAS,2021-03-31
ADTALEM GLOBAL ED INC,COM,00737L103,407,11992,Shares,"",SOLE,11992,0,0,ATGE,2020-12-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,12494,36353,Shares,"",SOLE,36353,0,0,VOO,2020-12-31
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,11074,125575,Shares,"",SOLE,125575,0,0,BND,2020-12-31
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,21572,244609,Shares,"",SOLE,244609,0,0,BND,2020-12-31
APPLE INC COM STK,COM,037833100,663,5000,Shares,"",SOLE,5000,0,0,AAPL,2020-12-31
ADTALEM GLOBAL ED INC,COM,00737L103,320,13022,Shares,"",SOLE,13022,0,0,ATGE,2020-09-30
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,11184,36353,Shares,"",SOLE,36353,0,0,VOO,2020-09-30
ADTALEM GLOBAL ED INC,COM,00737L103,439,14078,Shares,"",SOLE,14078,0,0,ATGE,2020-06-30
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,10356,36353,Shares,"",SOLE,36353,0,0,VOO,2020-06-30
HASBRO INC,COM,418056107,1499,20000,Shares,"",SOLE,20000,0,0,HAS,2020-06-30
ADTALEM GLOBAL ED INC,COM,00737L103,401,14982,Shares,"",SOLE,14982,0,0,ATGE,2020-03-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,8609,36353,Shares,"",SOLE,36353,0,0,VOO,2020-03-31
ADTALEM GLOBAL ED INC,COM,00737L103,566,16181,Shares,"",SOLE,16181,0,0,ATGE,2019-12-31
ISHARES TR,CORE S&P500 ETF,464287200,18857,58336,Shares,"",SOLE,58336,0,0,IVV,2019-12-31
ISHARES TR,CORE MSCI EAFE,46432F842,11441,175371,Shares,"",SOLE,175371,0,0,IEFA,2019-12-31
ISHARES INC,CORE MSCI EMKT,46434G103,3884,72254,Shares,"",SOLE,72254,0,0,IEMG,2019-12-31
ADTALEM GLOBAL ED INC,COM,00737L103,652,17105,Shares,"",SOLE,17105,0,0,ATGE,2019-09-30
ISHARES TR,CORE S&P500 ETF,464287200,51331,171952,Shares,"",SOLE,171952,0,0,IVV,2019-09-30
ISHARES TR,CORE MSCI EAFE,46432F842,31423,514538,Shares,"",SOLE,514538,0,0,IEFA,2019-09-30
ISHARES INC,CORE MSCI EMKT,46434G103,10741,219118,Shares,"",SOLE,219118,0,0,IEMG,2019-09-30
ADTALEM GLOBAL ED INC,COM,00737L103,805,17875,Shares,"",SOLE,17875,0,0,ATGE,2019-06-30
ISHARES TR,CORE S&P500 ETF,464287200,56853,192887,Shares,"",SOLE,192887,0,0,IVV,2019-06-30
ISHARES TR,CORE MSCI EAFE,46432F842,34215,557240,Shares,"",SOLE,557240,0,0,IEFA,2019-06-30
ISHARES INC,CORE MSCI EMKT,46434G103,11756,228546,Shares,"",SOLE,228546,0,0,IEMG,2019-06-30
ADTALEM GLOBAL ED INC,COM,00737L103,828,17875,Shares,"",SOLE,17875,0,0,ATGE,2019-03-31
ISHARES TR,CORE S&P500 ETF,464287200,54888,192887,Shares,"",SOLE,192887,0,0,IVV,2019-03-31
ISHARES TR,CORE MSCI EAFE,46432F842,33863,557240,Shares,"",SOLE,557240,0,0,IEFA,2019-03-31
ISHARES INC,CORE MSCI EMKT,46434G103,11818,228546,Shares,"",SOLE,228546,0,0,IEMG,2019-03-31
ADTALEM GLOBAL ED INC,COM,00737L103,877,18533,Shares,"",SOLE,18533,0,0,ATGE,2018-12-31
ISHARES TR,CORE S&P500 ETF,464287200,89594,355627,Shares,"",SOLE,355627,0,0,IVV,2018-12-31
ISHARES TR,CORE MSCI EAFE,46432F842,54943,998962,Shares,"",SOLE,998962,0,0,IEFA,2018-12-31
ISHARES INC,CORE MSCI EMKT,46434G103,18565,393735,Shares,"",SOLE,393735,0,0,IEMG,2018-12-31
ADTALEM GLOBAL ED INC,COM,00737L103,923,19151,Shares,"",SOLE,19151,0,0,ATGE,2018-09-30
ISHARES TR,CORE S&P500 ETF,464287200,104557,355627,Shares,"",SOLE,355627,0,0,IVV,2018-09-30
ISHARES TR,CORE MSCI EAFE,46432F842,64013,998962,Shares,"",SOLE,998962,0,0,IEFA,2018-09-30
ISHARES INC,CORE MSCI EMKT,46434G103,20388,393735,Shares,"",SOLE,393735,0,0,IEMG,2018-09-30
ADTALEM GLOBAL ED INC,COM,00737L103,985,20473,Shares,"",SOLE,20473,0,0,ATGE,2018-06-30
ISHARES TR,CORE S&P500 ETF,464287200,114573,417646,Shares,"",SOLE,417646,0,0,IVV,2018-06-30
ISHARES TR,CORE MSCI EAFE,46432F842,75040,1184153,Shares,"",SOLE,1184153,0,0,IEFA,2018-06-30
ISHARES INC,CORE MSCI EMKT,46434G103,22812,434423,Shares,"",SOLE,434423,0,0,IEMG,2018-06-30
ISHARES TR,20 YR TR BD ETF,464287432,17777,145835,Shares,"",SOLE,145835,0,0,TLT,2018-03-31
ADTALEM GLOBAL ED INC,COM,00737L103,973,20473,Shares,"",SOLE,20473,0,0,ATGE,2018-03-31
ISHARES TR,RUS 1000 ETF,464287622,11431,77833,Shares,"",SOLE,77833,0,0,IWB,2018-03-31
ISHARES TR,CORE S&P500 ETF,464287200,185939,700677,Shares,"",SOLE,700677,0,0,IVV,2018-03-31
ISHARES TR,CORE MSCI EAFE,46432F842,128010,1943080,Shares,"",SOLE,1943080,0,0,IEFA,2018-03-31
ISHARES INC,CORE MSCI EMKT,46434G103,43977,753033,Shares,"",SOLE,753033,0,0,IEMG,2018-03-31
DEVRY EDUCATION GROUP INC,COM,251893103,771,30467,Shares,"",SOLE,30467,0,0,DV,2015-12-31
SELECT SECTOR SPDR TR,SBI INT-ENERGY,81369Y506,26285,434112,Shares,"",SOLE,434112,0,0,XLE,2015-12-31
ISHARES TR RUS 1000 ETF,RUS 1000 ETF,464287622,9593,84598,Shares,"",SOLE,84598,0,0,IWB,2015-12-31
ISHARES TR 20+ YR TR BD ETF,20+ YR TR BD ETF,464287432,6057,50219,Shares,"",SOLE,50219,0,0,TLT,2015-12-31
DEVRY EDUCATION GROUP INC,COM,251893103,864,31769,Shares,"",SOLE,31769,0,0,DV,2015-09-30
SELECT SECTOR SPDR TR,SBI INT-ENERGY,81369Y506,26568,434112,Shares,"",SOLE,434112,0,0,XLE,2015-09-30
ISHARES TR RUS 1000 ETF,RUS 1000 ETF,464287622,7214,67084,Shares,"",SOLE,67084,0,0,IWB,2015-09-30
ISHARES TR 20+ YR TR BD ETF,20+ YR TR BD ETF,464287432,6012,48661,Shares,"",SOLE,48661,0,0,TLT,2015-09-30
DEVRY EDUCATION GROUP INC,COM,251893103,987,32922,Shares,"",SOLE,32922,0,0,DV,2015-06-30
SELECT SECTOR SPDR TR,SBI INT-ENERGY,81369Y506,32628,434112,Shares,"",SOLE,434112,0,0,XLE,2015-06-30
SEARS CDA INC,COM,81234D109,121,19900,Shares,"",SOLE,19900,0,0,SRSCQ,2015-06-30
DEVRY EDUCATION GROUP INC,COM,251893103,1131,33892,Shares,"",SOLE,33892,0,0,DV,2015-03-31
SELECT SECTOR SPDR TR,SBI INT-ENERGY,81369Y506,33678,434112,Shares,"",SOLE,434112,0,0,XLE,2015-03-31
DEVRY EDUCATION GROUP INC,COM,251893103,2989,72467,Shares,"",SOLE,72467,0,0,DV,2014-12-31
BRISTOL MYERS SQUIBB CO COM,COM,110122108,241,4500,Shares,"",SOLE,4500,0,0,BMY,2014-12-31
SANOFI CONTINGENT VALUE RIGHTS EXP DT   12-31-2020,R/W,80105N113,4,10303,Shares,"",SOLE,10303,0,0,GCVRZ,2014-12-31
TIME WARNER CABLE INC COM,COM,88732J207,242,1594,Shares,"",SOLE,1594,0,0,TWC,2014-12-31
DEVRY ED GROUP INC,COM,251893103,1518,35472,Shares,"",SOLE,35472,0,0,DV,2014-09-30
DEVRY ED GROUP INC,COM,251893103,1532,36192,Shares,"",SOLE,36192,0,0,DV,2014-06-30
ISHARES TR,IBOXX INV CP ETF,464287242,36448,311599,Shares,"",SOLE,311599,0,0,LQD,2014-03-31
DEVRY ED GROUP INC,COM,251893103,1565,36918,Shares,"",SOLE,36918,0,0,DV,2014-03-31
ISHARES,IBOXX INV CP ETF,464287242,64661,569599,Shares,"",SOLE,569599,0,0,LQD,2013-09-30
ISHARES,20+ YR TR BD ETF,464287432,3265,30687,Shares,"",SOLE,30687,0,0,TLT,2013-09-30
DEVRY INC DEL,COM,251893103,1181,38645,Shares,"",SOLE,38645,0,0,DV,2013-09-30
SANOFI,RIGHT 12/31/2020,80105N113,21,10303,Shares,"",SOLE,10303,0,0,GCVRZ,2013-09-30
ISHARES TR,IBOXX INV CPBD,464287242,68295,569599,Shares,"",SOLE,569599,0,0,LQD,2013-03-31
DEVRY INC DEL,COM,251893103,1295,40772,Shares,"",SOLE,40772,0,0,DV,2013-03-31
ISHARES TR,BARCLYS 20+ YR,464287432,860,7301,Shares,"",SOLE,7301,0,0,TLT,2013-03-31
IMAX CORP,COM,45245E109,401,15000,Shares,"",SOLE,15000,0,0,IMAX,2013-03-31
SANOFI,RIGHT 12/31/2020,80105N113,18,10303,Shares,"",SOLE,10303,0,0,GCVRZ,2013-03-31
ISHARES TR,IBOXX INV CPBD,464287242,64735,569599,Shares,"",SOLE,569599,0,0,LQD,2013-06-30
DEVRY INC DEL,COM,251893103,1231,39689,Shares,"",SOLE,39689,0,0,DV,2013-06-30
ISHARES TR,BARCLYS 20+ YR,464287432,806,7301,Shares,"",SOLE,7301,0,0,TLT,2013-06-30
SANOFI,RIGHT 12/31/2020,80105N113,20,10303,Shares,"",SOLE,10303,0,0,GCVRZ,2013-06-30
ISHARES TR,IBOXX INV CPBD,464287242,149495,1235599,Shares,"",SOLE,1235599,0,0,LQD,2012-12-31
VANGUARD SCOTTSDALE FDS,LG-TERM COR BD,92206C813,115297,1257194,Shares,"",SOLE,1257194,0,0,VCLT,2012-12-31
NORTHERN TR CORP,COM,665859104,1729,34465,Shares,"",SOLE,34465,0,0,NTRS,2012-12-31
DEVRY INC DEL,COM,251893103,991,41757,Shares,"",SOLE,41757,0,0,DV,2012-12-31
ISHARES TR,BARCLYS 20+ YR,464287432,885,7301,Shares,"",SOLE,7301,0,0,TLT,2012-12-31
BERKSHIRE HATHAWAY INC DEL,CL A,084670108,670,5,Shares,"",SOLE,5,0,0,BRKA,2012-12-31
MORGAN STANLEY,COM NEW,617446448,277,14513,Shares,"",SOLE,14513,0,0,MS,2012-12-31
BLACKROCK DEBT STRAT FD INC,COM,09255R103,72,16759,Shares,"",SOLE,16759,0,0,DSU,2012-12-31
SANOFI,RIGHT 12/31/2020,80105N113,18,10303,Shares,"",SOLE,10303,0,0,GCVRZ,2012-12-31
ISHARES TR,IBOXX INV CPBD,464287242,65054,569599,Shares,"",SOLE,569599,0,0,LQD,2013-12-31
DEVRY INC DEL,COM,251893103,1338,37695,Shares,"",SOLE,37695,0,0,DV,2013-12-31
BRISTOL MYERS SQUIBB CO,COM,110122108,239,4500,Shares,"",SOLE,4500,0,0,BMY,2013-12-31
SANOFI,RIGHT 12/31/2020,80105N113,4,10303,Shares,"",SOLE,10303,0,0,GCVRZ,2013-12-31
AU Optronics Corp,ADR,002255107,1899,110465,SH,,Other,0,0,110465,02,2008-03-31
Adv Med,Optics,00763MAK4,327,450000,SH,,Other,0,0,450000,02,2008-03-31
Adv Energy Inds Inc,COM,007973100,240,18100,SH,,Other,0,0,18100,01,2008-03-31
Alexander & Baldwin Inc,COM,014482103,1114,25850,SH,,Other,0,0,25850,02,2008-03-31
Amern Finl Rlty,COM,02607P305,487,61350,SH,,Other,0,0,61350,02,2008-03-31
Ampco Corp,COM,032037103,795,18500,SH,,Other,0,0,18500,01,2008-03-31
Annaly Cap Mgmt Inc,COM,035710409,6171,402825,SH,,Other,0,0,402825,02,2008-03-31
Anntaylor Stores Corp,COM,036115103,568,23500,SH,,Other,0,0,23500,01,2008-03-31
Applied Indl Tech,COM,03820C105,837,28000,SH,,Other,0,0,28000,01,2008-03-31
Arch Coal Inc,COM,039380100,6845,157350,SH,,Other,0,0,157350,02,2008-03-31
Arden Group A,COM,039762109,1173,8200,SH,,Other,0,0,8200,01,2008-03-31
Arkansas Best,Corp,040790107,427,13400,SH,,Other,0,0,13400,01,2008-03-31
Atrion Corp,COM,049904105,550,5500,SH,,Other,0,0,5500,01,2008-03-31
Avis Budget Grp,COM,053774105,308,29000,SH,,Other,0,0,29000,02,2008-03-31
Avnet Inc,COM,053807103,1842,56275,SH,,Other,0,0,56275,02,2008-03-31
Avx Corp,COM,002444107,433,33800,SH,,Other,0,0,33800,01,2008-03-31
Bearingpoint Inc,COM,074002106,581,345750,SH,,Other,0,0,345750,02,2008-03-31
Bio Rad Labs Cl A,COM,090572207,1637,18400,SH,,Other,0,0,18400,01,2008-03-31
Bombardier Inc Cl B,COM,097751200,1339,251200,SH,,Other,0,0,251200,02,2008-03-31
Boston Scientific Corp,COM,101137107,606,47100,SH,,Other,0,0,47100,02,2008-03-31
Bowl Amer Inc Cl A,COM,102565108,447,29000,SH,,Other,0,0,29000,01,2008-03-31
Brown Shoe Inc,COM,115736100,719,47700,SH,,Other,0,0,47700,01,2008-03-31
Brunswick Corp,COM,117043109,787,49250,SH,,Other,0,0,49250,02,2008-03-31
Cameco Corp,COM,13321L108,703,21350,SH,,Other,0,0,21350,02,2008-03-31
Carlisle Companies Inc,COM,142339100,686,20500,SH,,Other,0,0,20500,01,2008-03-31
Carpenter Tech Corp,COM,144285103,1086,19400,SH,,Other,0,0,19400,01,2008-03-31
Carp 1 Fncl,COM,14040H105,861,17500,SH,,Other,0,0,17500,02,2008-03-31
Carter Inc,COM,146229109,383,23700,SH,,Other,0,0,23700,01,2008-03-31
Cascade Corp,COM,147195101,730,14800,SH,,Other,0,0,14800,01,2008-03-31
CBL & Assoc Pptys Inc,COM,124830100,721,30650,SH,,Other,0,0,30650,02,2008-03-31
CEC Entmt Inc,COM,125137109,520,18000,SH,,Other,0,0,18000,01,2008-03-31
Celestica Sub Vtg,COM,15101Q108,1184,176250,SH,,Other,0,0,176250,02,2008-03-31
Chemtura Corp,COM,163893100,509,69400,SH,,Other,0,0,69400,02,2008-03-31
Chicos Fas,COM,168615102,1410,198350,SH,,Other,0,0,198350,02,2008-03-31
CMGI INC,COM,125750307,198,14900,SH,,Other,0,0,14900,02,2008-03-31
CSS Inds Inc,COM,125906107,1157,33100,SH,,Other,0,0,33100,01,2008-03-31
CSX Corp,COM,126408103,807,14400,SH,,Other,0,0,14400,02,2008-03-31
Curtiss Wright Corp,COM,231561101,469,11300,SH,,Other,0,0,11300,02,2008-03-31
Cyberoptics Corp,COM,232517102,145,13319,SH,,Other,0,0,13319,01,2008-03-31
Cytec Ind,COM,232820100,401,7450,SH,,Other,0,0,7450,02,2008-03-31
DeVRY Inc Del,COM,251893103,12816,306318,SH,,Sole,306318,0,0,,2008-03-31
Dorman Prods Inc,COM,258278100,647,60200,SH,,Other,0,0,60200,01,2008-03-31
D R Horton Inc,COM,23331A109,4779,303450,SH,,Other,0,0,303450,02,2008-03-31
Escalade Inc,COM,296056104,532,60000,SH,,Other,0,0,60000,01,2008-03-31
Ethan Allen Int,COM,297602104,589,20700,SH,,Other,0,0,20700,01,2008-03-31
Fed Home Ln Mtg Corp,COM,313400301,6066,239575,SH,,Other,0,0,239575,02,2008-03-31
Fidelity Natl Fin Inc,COM,31620R105,1412,77050,SH,,Other,0,0,77050,02,2008-03-31
Frischs Rstaurnts Inc,COM,358748101,495,21500,SH,,Other,0,0,21500,01,2008-03-31
Genworth Finl Inc Cl,A,37247D106,2232,98600,SH,,Other,0,0,98600,02,2008-03-31
Hilb Rogal & Hobbs,COM,431294107,1183,37600,SH,,Other,0,0,37600,01,2008-03-31
HNI Corp,COM,404251100,223,8300,SH,,Other,0,0,8300,01,2008-03-31
Hubbell Inc Cl B,COM,443510201,437,10000,SH,,Other,0,0,10000,01,2008-03-31
Hunt J B Trans Svcs,COM,445658107,1892,60200,SH,,Other,0,0,60200,02,2008-03-31
Huntington Bancshares,COM,446150104,2943,273750,SH,,Other,0,0,273750,02,2008-03-31
Hurco Co,COM,447324104,421,9000,SH,,Other,0,0,9000,01,2008-03-31
Imation Corp,COM,45245A107,298,13100,SH,,Other,0,0,13100,01,2008-03-31
